person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,debt_to_income,income_to_loan_ratio,credit_history_years_per_age,employment_length_to_age_ratio,loan_to_income_percent
22.0,59000,3,14.5,4,3,23000,16.02,1,0.44000000000000006,1,3,0.5932203389830508,1.6857142857142857,0.13636363636363635,5.590909090909091,59.32203389830508
21.0,9600,2,5.0,1,1,1000,11.14,0,0.1,0,2,0.10416666666666667,9.6,0.09523809523809523,0.23809523809523808,10.416666666666668
25.0,9600,0,1.0,3,2,5500,12.87,1,0.44000000000000006,0,3,0.5729166666666666,1.7454545454545454,0.12,0.04,57.291666666666664
23.0,65500,3,4.0,3,2,23000,15.23,1,0.44000000000000006,0,2,0.5343511450381679,1.8714285714285714,0.08695652173913043,0.17391304347826086,53.43511450381679
24.0,54400,3,8.0,3,2,23000,14.27,1,0.44000000000000006,1,4,0.6433823529411765,1.5542857142857143,0.16666666666666666,0.3333333333333333,64.33823529411765
21.0,9900,2,2.0,5,0,2500,7.14,1,0.25,0,2,0.25252525252525254,3.96,0.09523809523809523,0.09523809523809523,25.252525252525253
26.0,77100,3,8.0,1,1,23000,12.42,1,0.44000000000000006,0,3,0.45395590142671854,2.202857142857143,0.11538461538461539,0.3076923076923077,45.39559014267186
24.0,78956,3,5.0,3,1,23000,11.11,1,0.44,0,4,0.44328486752115104,2.2558857142857143,0.16666666666666666,0.20833333333333334,44.328486752115104
24.0,83000,3,8.0,4,0,23000,8.9,1,0.42,0,2,0.42168674698795183,2.3714285714285714,0.08333333333333333,0.3333333333333333,42.168674698795186
21.0,10000,2,6.0,5,3,1600,14.74,1,0.16,0,3,0.16,6.25,0.14285714285714285,0.2857142857142857,16.0
22.0,85000,3,6.0,5,1,23000,10.37,1,0.41,0,4,0.4117647058823529,2.4285714285714284,0.18181818181818182,0.2727272727272727,41.17647058823529
21.0,10000,2,2.0,2,0,4500,8.63,1,0.44000000000000006,0,2,0.45,2.2222222222222223,0.09523809523809523,0.09523809523809523,45.0
23.0,95000,3,2.0,5,0,23000,7.9,1,0.37,0,2,0.3684210526315789,2.7142857142857144,0.08695652173913043,0.08695652173913043,36.84210526315789
26.0,108160,3,4.0,1,4,23000,18.39,1,0.32,0,4,0.323594674556213,3.0902857142857143,0.15384615384615385,0.15384615384615385,32.3594674556213
23.0,115000,3,2.0,1,0,23000,7.9,0,0.3,0,4,0.30434782608695654,3.2857142857142856,0.17391304347826086,0.08695652173913043,30.434782608695656
23.0,140250,0,7.0,0,1,23000,10.65,0,0.06,0,3,0.06,16.666666666666668,0.13043478260869565,0.30434782608695654,6.0
23.0,120000,3,0.0,1,0,23000,7.9,0,0.29,0,4,0.2916666666666667,3.4285714285714284,0.17391304347826086,0.0,29.166666666666668
23.0,92111,3,7.0,3,5,23000,20.04,1,0.32,0,4,0.3799763329026935,2.631742857142857,0.17391304347826086,0.30434782608695654,37.99763329026935
23.0,113000,3,8.0,0,3,23000,18.25,1,0.31,0,4,0.30973451327433627,3.2285714285714286,0.17391304347826086,0.34782608695652173,30.973451327433626
24.0,10800,0,8.0,1,1,1750,10.99,1,0.16,0,2,0.16203703703703703,6.171428571428572,0.08333333333333333,0.3333333333333333,16.203703703703702
25.0,140250,3,2.0,5,0,23000,7.49,0,0.22,0,4,0.2153846153846154,4.642857142857143,0.16,0.08,21.53846153846154
25.0,137000,3,9.0,4,4,23000,16.77,0,0.25,1,2,0.25401459854014596,3.9367816091954024,0.08,0.36,25.401459854014597
22.0,65000,3,4.0,1,3,23000,17.58,1,0.44000000000000006,0,4,0.5230769230769231,1.911764705882353,0.18181818181818182,0.18181818181818182,52.307692307692314
24.0,10980,2,0.0,4,0,1500,7.29,0,0.14,0,3,0.1366120218579235,7.32,0.125,0.0,13.661202185792352
22.0,80000,3,3.0,4,3,23000,14.54,1,0.42,1,4,0.424375,2.3564064801178204,0.18181818181818182,0.13636363636363635,42.4375
24.0,67746,3,8.0,2,2,23000,12.68,1,0.44000000000000006,0,3,0.4871136303250376,2.052909090909091,0.125,0.3333333333333333,48.71136303250376
21.0,11000,0,3.0,5,4,4575,17.74,1,0.42,1,3,0.4159090909090909,2.4043715846994536,0.14285714285714285,0.14285714285714285,41.590909090909086
23.0,11000,2,0.0,4,0,1400,9.32,0,0.13,0,3,0.12727272727272726,7.857142857142857,0.13043478260869565,0.0,12.727272727272727
24.0,65000,3,6.0,2,1,23000,9.99,1,0.44000000000000006,0,3,0.5,2.0,0.125,0.25,50.0
21.0,11389,1,5.0,1,2,4000,12.84,1,0.35,1,2,0.3512160856967249,2.84725,0.09523809523809523,0.23809523809523808,35.12160856967249
21.0,11520,2,5.0,3,1,2000,11.12,1,0.17,0,3,0.1736111111111111,5.76,0.14285714285714285,0.23809523809523808,17.36111111111111
25.0,120000,3,2.0,5,0,23000,6.62,0,0.27,0,2,0.26666666666666666,3.75,0.08,0.08,26.666666666666668
26.0,95000,3,7.0,2,2,23000,14.17,1,0.33,1,3,0.3268421052631579,3.0595813204508855,0.11538461538461539,0.2692307692307692,32.68421052631579
25.0,140250,3,2.0,0,2,23000,13.85,0,0.08,0,3,0.07924836601307189,12.618556701030927,0.12,0.08,7.924836601307189
26.0,140250,0,10.0,3,2,7800,13.49,0,0.03,0,4,0.026,38.46153846153846,0.15384615384615385,0.38461538461538464,2.6
21.0,12000,2,5.0,1,0,2500,7.51,1,0.21,0,4,0.20833333333333334,4.8,0.19047619047619047,0.23809523809523808,20.833333333333336
22.0,48000,3,1.0,1,4,23000,18.39,1,0.44000000000000006,0,2,0.625,1.6,0.09090909090909091,0.045454545454545456,62.5
24.0,64000,3,8.0,0,3,23000,14.54,1,0.44000000000000006,1,3,0.46875,2.1333333333333333,0.125,0.3333333333333333,46.875
25.0,75000,3,4.0,2,3,23000,16.89,1,0.4,1,4,0.4,2.5,0.16,0.16,40.0
23.0,71500,3,3.0,0,3,23000,10.99,1,0.42,0,4,0.4195804195804196,2.3833333333333333,0.17391304347826086,0.13043478260869565,41.95804195804196
26.0,62050,3,6.0,3,4,23000,17.99,1,0.41,0,2,0.48348106365834004,2.0683333333333334,0.07692307692307693,0.23076923076923078,48.348106365834006
24.0,12000,2,4.0,5,1,2500,12.69,1,0.21,0,3,0.20833333333333334,4.8,0.125,0.16666666666666666,20.833333333333336
26.0,140250,0,10.0,5,0,20000,7.88,0,0.07,0,4,0.06666666666666667,15.0,0.15384615384615385,0.38461538461538464,6.666666666666667
23.0,140250,2,1.0,1,5,23000,19.41,0,0.08,1,2,0.08083333333333333,12.371134020618557,0.08695652173913043,0.043478260869565216,8.083333333333332
26.0,140250,2,9.0,2,1,10000,10.38,0,0.03,0,4,0.03333333333333333,30.0,0.15384615384615385,0.34615384615384615,3.3333333333333335
26.0,140250,0,0.0,1,3,23000,15.33,0,0.08,0,3,0.08333333333333333,12.0,0.11538461538461539,0.0,8.333333333333332
25.0,140250,0,9.0,2,4,18000,16.45,0,0.06,0,3,0.06,16.666666666666668,0.12,0.36,6.0
26.0,80690,3,8.0,4,0,23000,7.49,1,0.37,0,3,0.37179328293468833,2.6896666666666667,0.11538461538461539,0.3076923076923077,37.179328293468835
22.0,66300,3,4.0,3,1,23000,12.69,1,0.38,0,3,0.45248868778280543,2.21,0.13636363636363635,0.18181818181818182,45.248868778280546
26.0,89028,3,0.0,0,0,23000,6.62,1,0.34,0,3,0.33697263782180886,2.9676,0.11538461538461539,0.0,33.69726378218088
24.0,78000,3,4.0,0,3,23000,10.99,1,0.38,1,4,0.38461538461538464,2.6,0.16666666666666666,0.16666666666666666,38.46153846153847
23.0,78000,3,7.0,0,5,23000,18.62,1,0.38,1,3,0.38461538461538464,2.6,0.13043478260869565,0.30434782608695654,38.46153846153847
23.0,92004,3,6.0,4,2,23000,15.23,1,0.33,1,3,0.32607277944437196,3.0668,0.13043478260869565,0.2608695652173913,32.60727794443719
23.0,97000,3,7.0,5,1,23000,10.65,1,0.31,0,2,0.30927835051546393,3.2333333333333334,0.08695652173913043,0.30434782608695654,30.927835051546392
25.0,120000,3,9.0,1,0,23000,7.9,0,0.25,0,4,0.25,4.0,0.16,0.36,25.0
26.0,140250,3,4.0,4,2,10000,15.96,0,0.04,1,3,0.03571428571428571,28.0,0.11538461538461539,0.15384615384615385,3.571428571428571
26.0,140250,3,0.0,5,1,20000,11.48,0,0.07,0,3,0.07217506784456378,13.8552,0.11538461538461539,0.0,7.217506784456377
23.0,140250,2,3.0,4,0,23000,10.99,0,0.13,0,4,0.1263537906137184,7.914285714285715,0.17391304347826086,0.13043478260869565,12.63537906137184
25.0,128000,3,9.0,4,0,23000,7.29,0,0.23,0,4,0.234375,4.266666666666667,0.16,0.36,23.4375
24.0,12000,2,2.0,5,4,1750,10.99,0,0.15,1,3,0.14583333333333334,6.857142857142857,0.125,0.08333333333333333,14.583333333333334
21.0,131000,3,0.0,5,0,23000,5.99,0,0.23,0,4,0.22900763358778625,4.366666666666666,0.19047619047619047,0.0,22.900763358778626
22.0,140250,2,6.0,5,1,12000,11.58,0,0.04,0,2,0.04363636363636364,22.916666666666668,0.09090909090909091,0.2727272727272727,4.363636363636364
26.0,140250,0,0.0,1,1,10000,10.99,1,0.04,0,4,0.03802281368821293,26.3,0.15384615384615385,0.0,3.802281368821293
25.0,140250,0,9.0,3,3,23000,15.7,1,0.1,0,2,0.1126887536623845,8.874,0.08,0.36,11.268875366238449
22.0,70000,3,6.0,1,3,23000,15.99,1,0.42,0,3,0.4157142857142857,2.4054982817869415,0.13636363636363635,0.2727272727272727,41.57142857142857
22.0,12000,0,7.0,1,3,1500,14.84,0,0.13,1,3,0.125,8.0,0.13636363636363635,0.3181818181818182,12.5
26.0,140250,2,10.0,2,1,23000,10.99,0,0.11,0,3,0.1076923076923077,9.285714285714286,0.11538461538461539,0.38461538461538464,10.76923076923077
25.0,140250,0,9.0,2,3,20000,14.42,0,0.08,1,2,0.07722007722007722,12.95,0.08,0.36,7.722007722007722
24.0,140250,0,9.0,1,0,9600,6.99,0,0.04,0,2,0.03764705882352941,26.5625,0.08333333333333333,0.375,3.7647058823529407
25.0,140250,3,2.0,3,2,23000,13.49,0,0.1,0,4,0.1,10.0,0.16,0.08,10.0
25.0,12000,2,0.0,3,2,3000,10.99,1,0.25,0,3,0.25,4.0,0.12,0.0,25.0
22.0,56950,3,6.0,3,0,23000,10.99,1,0.44000000000000006,0,2,0.4916593503072871,2.0339285714285715,0.09090909090909091,0.2727272727272727,49.16593503072871
